id,coin,direction,entry,stop,tp1,tp2,score,timeframe,strategy,status,opened_at,closed_at,exit_price,pnl_pct,tp1_hit,realized_pct
49,ETH/USDT,SHORT,1751.09,1818.905,1615.46,1479.83,100,4h,ICT,LOSS,2026-07-08 04:01:06,2026-07-11 16:01:10,1818.905,-3.87,0,0.0
50,SOL/USDT,SHORT,78.72,83.05871429,70.04257143,61.36514286,100,4h,ICT,OPEN,2026-07-08 04:01:06,,,,0,0.0
51,LTC/USDT,SHORT,43.48,45.016,40.408,37.336,100,4h,ICT,LOSS,2026-07-08 04:01:06,2026-07-11 07:00:55,45.016,-3.53,0,0.0
52,PUMP/USDT,SHORT,0.0014891,0.00154902,0.00136925,0.00124941,100,1h,ICT,OPEN,2026-07-08 10:01:16,,,,0,0.0
53,BCH/USDT,SHORT,234.0,244.74285714,212.51428571,191.02857143,100,4h,ICT,LOSS,2026-07-08 12:01:17,2026-07-09 07:02:40,244.74285714,-4.59,0,0.0
54,AVAX/USDT,SHORT,6.435,6.84557143,5.61385714,4.79271429,92,4h,ICT,OPEN,2026-07-08 12:01:17,,,,0,0.0
55,ARB/USDT,LONG,0.0801,0.0801,0.08958857,0.09907714,100,4h,ICT,OPEN,2026-07-09 05:36:08,,,,1,5.923
56,AVAX/USDT,LONG,6.754,6.4251,7.4118,8.0696,100,1h,ICT,OPEN,2026-07-09 07:02:40,,,,0,0.0
57,DOT/USDT,LONG,0.877,0.82144286,0.98811429,1.09922857,97,4h,ICT,OPEN,2026-07-10 12:00:58,,,,0,0.0
58,PEPE/USDT,LONG,2.75e-06,2.58e-06,3.09e-06,3.42e-06,100,4h,ICT,OPEN,2026-07-10 16:00:59,,,,0,0.0
59,币安人生/USDT,LONG,0.6808,0.67293429,0.69653143,0.71226286,92,1h,ICT,OPEN,2026-07-11 15:01:11,,,,0,0.0
60,WLD/USDT,LONG,0.4078,0.37588714,0.47162571,0.53545143,97,4h,ICT,OPEN,2026-07-11 16:01:11,,,,0,0.0
61,PUMP/USDT,LONG,0.001449,0.0014262,0.0014946,0.0015402,92,1h,ICT,OPEN,2026-07-11 16:01:11,,,,0,0.0
